,date,high,low,snow,precip
0,1893-01-01,,,0,
1,1893-01-02,,,0,
2,1893-01-03,,,0,
3,1893-01-04,,,0,
4,1893-01-05,,,0,
5,1893-01-06,,,0,
6,1893-01-07,,,0,
7,1893-01-08,,,0,
8,1893-01-09,,,0,
9,1893-01-10,,,0,
10,1893-01-11,,,0,
11,1893-01-12,,,0,
12,1893-01-13,,,0,
13,1893-01-14,,,0,
14,1893-01-15,,,0,
15,1893-01-16,,,0,
16,1893-01-17,,,0,
17,1893-01-18,,,0,
18,1893-01-19,,,0,
19,1893-01-20,,,0,
20,1893-01-21,,,0,
21,1893-01-22,,,0,
22,1893-01-23,,,0,
23,1893-01-24,,,0,
24,1893-01-25,,,0,
25,1893-01-26,,,0,
26,1893-01-27,,,0,
27,1893-01-28,,,0,
28,1893-01-29,,,0,
29,1893-01-30,,,0,
30,1893-01-31,,,0,
3720,1893-02-01,,,0,
3721,1893-02-02,,,0,
3722,1893-02-03,,,0,
3723,1893-02-04,,,0,
3724,1893-02-05,,,0,
3725,1893-02-06,,,0,
3726,1893-02-07,,,0,
3727,1893-02-08,,,0,
3728,1893-02-09,,,0,
3729,1893-02-10,,,0,
3730,1893-02-11,,,0,
3731,1893-02-12,,,0,
3732,1893-02-13,,,0,
3733,1893-02-14,,,0,
3734,1893-02-15,,,0,
3735,1893-02-16,,,0,
3736,1893-02-17,,,0,
3737,1893-02-18,,,0,
3738,1893-02-19,,,0,
3739,1893-02-20,,,0,
3740,1893-02-21,,,0,
3741,1893-02-22,,,0,
3742,1893-02-23,,,0,
3743,1893-02-24,,,0,
3744,1893-02-25,,,0,
3745,1893-02-26,,,0,
3746,1893-02-27,,,0,
3747,1893-02-28,,,0,
7080,1893-03-01,26.0,4.0,0,0.0
7081,1893-03-02,20.0,9.0,0,0.0
7082,1893-03-03,10.0,0.0,0,0.0
7083,1893-03-04,18.0,-9.0,0,0.0
7084,1893-03-05,29.0,-10.0,0,0.0
7085,1893-03-06,23.0,-9.0,0,0.0
7086,1893-03-07,46.0,15.0,5,70.0
